logosID	usfmnumber	usfmname	osisID	biblia	name	altname
1	1	GEN	Gen	Ge	Genesis
2	2	EXO	Exod	Ex	Exodus
3	3	LEV	Lev	Le	Leviticus
4	4	NUM	Num	Nu	Numbers
5	5	DEU	Deut	Dt	Deuteronomy
6	6	JOS	Josh	Jos	Joshua
7	7	JDG	Judg	Jdg	Judges
8	8	RUT	Ruth	Ru	Ruth
9	9	1SA	1Sam	1Sa	1 Samuel
10	10	2SA	2Sam	2Sa	2 Samuel
11	11	1KI	1Kgs	1Ki	1 Kings
12	12	2KI	2Kgs	2Ki	2 Kings
13	13	1CH	1Chr	1Ch	1 Chronicles
14	14	2CH	2Chr	2Ch	2 Chronicles
15	15	EZR	Ezra	Ezr	Ezra
16	16	NEH	Neh	Ne	Nehemiah
17	17	EST	Esth	Es	Esther
18	18	JOB	Job	Job	Job
19	19	PSA	Ps	Ps	Psalms
20	20	PRO	Prov	Pr	Proverbs
21	21	ECC	Eccl	Ec	Ecclesiastes
22	22	SNG	Song	So	Song of Songs	Song of Solomon
23	23	ISA	Isa	Is	Isaiah
24	24	JER	Jer	Je	Jeremiah
25	25	LAM	Lam	La	Lamentations	The Lamentations of Jeremiah
26	26	EZK	Ezek	Eze	Ezekiel
27	27	DAN	Dan	Da	Daniel
28	28	HOS	Hos	Ho	Hosea
29	29	JOL	Joel	Joe	Joel
30	30	AMO	Amos	Am	Amos
31	31	OBA	Obad	Ob	Obadiah
32	32	JON	Jonah	Jon	Jonah
33	33	MIC	Mic	Mic	Micah
34	34	NAM	Nah	Na	Nahum
35	35	HAB	Hab	Hab	Habakkuk
36	36	ZEP	Zeph	Zep	Zephaniah
37	37	HAG	Hag	Hag	Haggai
38	38	ZEC	Zech	Zec	Zechariah
39	39	MAL	Mal	Mal	Malachi
# gap in the USFM numbering sequence here because of the legacy
# issue of MAT as 41 rather than 40.
# Need to add Biblia abbreviations for Deuterocanon
40	68	TOB	Tob	aaa	Tobit
41	69	JDT	Jdt	bbb	Judith
42	70	ESG	EsthGr	ccc	Esther Greek
43	71	WIS	Wis	ddd	Wisdom of Solomon
44	72	SIR	Sir	eee	Sirach
45	73	BAR	Bar	fff	Baruch
46	74	LJE	EpJer	ggg	Letter of Jeremiah
47	75	S3Y	PrAzar	hhh	Song of the 3 Young Men
48	76	SUS	Sus	iii	Susanna
49	77	BEL	Bel	jjj	Bel and the Dragon
50	78	1MA	1Macc	kkk	1 Maccabees
51	79	2MA	2Macc	lll	2 Maccabees
52	82	1ES	1Esd	mmm	1 Esdras (Greek)
53	84	MAN	PrMan	nnn	Prayer of Manasseh
54	85	PS2	AddPs	ooo	Psalm 151
55	80	3MA	3Macc	ppp	3 Maccabees
56	83	2ES	2Esd	qqq	2 Esdras (Latin)
57	81	4MA	4Macc	rrr	4 Maccabees
58	86	ODA	Odes	sss	Odae/Odes
59	87	PSS	PssSol	ttt	Psalms of Solomon
60	C3	LAO	EpLao	uuu	Letter to the Laodiceans
# Some filenames and legacy data have USFM number for MAT as 41,
# and +1 for subsequent NT books: use usfmnumberalt for that. But
# most common current practice is MAT = 40.
61	40	MAT	Matt	Mt	Matthew	The Gospel according to Matthew
62	41	MRK	Mark	Mk	Mark	The Gospel according to Mark
63	42	LUK	Luke	Lk	Luke	The Gospel according to Luke
64	43	JHN	John	Jn	John	The Gospel according to John
65	44	ACT	Acts	Ac	Acts	The Acts of the Apostles
66	45	ROM	Rom	Ro	Romans	The Letter of Paul to the Romans
67	46	1CO	1Cor	1Co	1 Corinthians	The First Letter of Paul to the Corinthians
68	47	2CO	2Cor	2Co	2 Corinthians	The Second Letter of Paul to the Corinthians
69	48	GAL	Gal	Ga	Galatians	The Letter of Paul to the Galatians
70	49	EPH	Eph	Eph	Ephesians	The Letter of Paul to the Ephesians
71	50	PHP	Phil	Php	Philippians	The Letter of Paul to the Philippians
72	51	COL	Col	Col	Colossians	The Letter of Paul to the Colossians
73	52	1TH	1Thess	1Th	1 Thessalonians	The First Letter of Paul to the Thessalonians
74	53	2TH	2Thess	2Th	2 Thessalonians	The Second Letter of Paul to the Thessalonians
75	54	1TI	1Tim	1Ti	1 Timothy	The First Letter of Paul to Timothy
76	55	2TI	2Tim	2Ti	2 Timothy	The Second Letter of Paul to Timothy
77	56	TIT	Titus	Tt	Titus	The Letter of Paul to Titus
78	57	PHM	Phlm	Phm	Philemon	The Letter of Paul to Philemon
79	58	HEB	Heb	Heb	Hebrews	The Letter to the Hebrews
80	59	JAS	Jas	Jas	James	The Letter of James
81	60	1PE	1Pet	1Pe	1 Peter	The First Letter of Peter
82	61	2PE	2Pet	2Pe	2 Peter	The Second Letter of Peter
83	62	1JN	1John	1Jn	1 John	The First Letter of John
84	63	2JN	2John	2Jn	2 John	The Second Letter of John
85	64	3JN	3John	3Jn	3 John	The Third Letter of John
86	65	JUD	Jude	Jud	Jude	The Letter of Jude
87	66	REV	Rev	Re	Revelation	The Revelation to John
88	B7	ENO	1En		Enoch
# Logos also has 2 Baruch (99)??
# LBD: 'The Syriac Apocalypse of Baruch proper consists of 2
# Baruch 1–77, while 2 Baruch 78–87 form the Letter of Baruch.'
# I'm guessing USFM doesn't distinguish?
96	B4	2BA	2Bar	vvv	2 Baruch (Apocalypse)	The Apocalypse of Baruch
97	B5	LBA	EpBar	www	Letter of Baruch
98	B2	DAG	DanGr	xxx	Daniel Greek
# (99, '2 Baruch'),
100	A4	EZA	4Ezra	yyy	Ezra Apocalypse
# # no Logos number AFAIK: arbitrarily numbered from 200
200	A5	5EZ	5Ezra	zzz	5 Ezra
201	A6	6EZ	6Ezra	aab	6 Ezra
202	B3	PS3	5ApocSyrPss	aac	Psalms 152-155
203	B6	JUB	Jub	aad	Jubilees
204	B8	1MQ	1Meq	aae	1 Meqabyan/Mekabis	Book of Mekabis of Benjamin
205	B9	2MQ	2Meq	aaf	2 Meqabyan/Mekabis	Book of Mekabis of Moab
206	C0	3MQ	3Meq	aag	3 Meqabyan/Mekabis	Book of Meqabyan
207	C1	REP	Rep	aah	Reproof
208	C2	4BA	4Bar	aai	4 Baruch
# more from Logos, per
# https://wiki.logos.com/Logos_Bible_Book_Names, but not in
# USFM/OSIS? These seems to be from DSS5
# `logosref:bibleNN` doesn't navigate for more in Logos for NN > 87
# (89, 'Plea for Deliverance'),
# (90, 'Apostrophe to Zion'),
# (91, 'Eschatalogical Hymn'),
# (92, 'Apostrophe to Judah'),
# (93, 'Hymn to the Creator'),
# (94, 'David's Compositions'),
# (95, 'Apocryphal Psalms'),
# (101, 'Catena'),
# (102, 'Psalm 151A'),
# (103, 'Psalm 151B'),
