# Bislama (bis) book names and abbreviations for biblelib
# Conventions: Baibel long Bislama, Bible Society of the South Pacific (BSSP, 1995)
# Names are English-based phonetic adaptations characteristic of Bislama orthography
# (ae = long a, ea = schwa-a; cf. Aesaea, Jeremaea, Malakae)
# Abbreviations: derived from Bislama name; no published standard exists
# Deuterocanonical and extended canon: transliterated (BSSP is Protestant only)
# cv_sep: :
# Protestant canon
usfmname	name	abbrev
GEN	Jenesis	Jen
EXO	Eksodas	Eks
LEV	Levatikus	Lev
NUM	Nambas	Nam
DEU	Deuteronomi	Deu
JOS	Josua	Jos
JDG	Ol Jaj	Jaj
RUT	Rut	Rut
1SA	1 Samael	1Sam
2SA	2 Samael	2Sam
1KI	1 Kings	1Kin
2KI	2 Kings	2Kin
1CH	1 Kronikol	1Kro
2CH	2 Kronikol	2Kro
EZR	Esra	Esr
NEH	Nehemaea	Neh
EST	Ester	Est
JOB	Jop	Jop
PSA	Sam	Sam
PRO	Provab	Pro
ECC	Eklesiastes	Ekl
SNG	Song blong ol Song	Son
ISA	Aesaea	Aes
JER	Jeremaea	Jer
LAM	Lamentesen	Lam
EZK	Esikiel	Esi
DAN	Daniel	Dan
HOS	Hosea	Hos
JOL	Joel	Joe
AMO	Emos	Emo
OBA	Obadaea	Oba
JON	Jona	Jona
MIC	Maeka	Mae
NAM	Naham	Nah
HAB	Habakak	Hab
ZEP	Sefanaea	Sef
HAG	Hagai	Hag
ZEC	Sakarea	Sak
MAL	Malakae	Mal
# Deuterocanonical books
TOB	Tobit	Tob
JDT	Judit	Judt
ESG	Ester (Grik)	EstGrk
WIS	Waesdim blong Solomon	Wis
SIR	Sirach	Sir
BAR	Baruk	Bar
LJE	Leta blong Jeremaea	LJer
S3Y	Song blong Tri Yangfala Man	S3Y
SUS	Susana	Sus
BEL	Bel mo Drakon	Bel
1MA	1 Makabe	1Mak
2MA	2 Makabe	2Mak
1ES	1 Esra	1Esr
MAN	Prear blong Manase	PMa
PS2	Sam 151	S151
3MA	3 Makabe	3Mak
2ES	2 Esra	2Esr
4MA	4 Makabe	4Mak
ODA	Oda	Oda
PSS	Sam blong Solomon	SSol
LAO	Laodisia	Lao
# New Testament
MAT	Matiu	Mat
MRK	Mak	Mak
LUK	Luk	Luk
JHN	Jon	Jon
ACT	Wok blong ol Aposol	Apo
ROM	Rom	Rom
1CO	1 Korin	1Kor
2CO	2 Korin	2Kor
GAL	Galesia	Gal
EPH	Efesas	Efe
PHP	Filipae	Fil
COL	Kolos	Kol
1TH	1 Tesalonaeka	1Tes
2TH	2 Tesalonaeka	2Tes
1TI	1 Timoti	1Tim
2TI	2 Timoti	2Tim
TIT	Taetas	Tae
PHM	Filemon	Fle
HEB	Hibru	Hib
JAS	Jems	Jem
1PE	1 Pita	1Pit
2PE	2 Pita	2Pit
1JN	1 Jon	1Jon
2JN	2 Jon	2Jon
3JN	3 Jon	3Jon
JUD	Jut	Jut
REV	Revelesen	Rev
# Extended canon (Ethiopian, Syriac, etc.)
ENO	Enok	Eno
2BA	Baruk 2	2Bar
LBA	Leta blong Baruk	LBar
DAG	Daniel (Grik)	DanG
EZA	Revelesen blong Esra	REsr
5EZ	5 Esra	5Esr
6EZ	6 Esra	6Esr
PS3	Sam 152-155	S152
JUB	Jubili	Jub
1MQ	1 Meqabyan	1Meq
2MQ	2 Meqabyan	2Meq
3MQ	3 Meqabyan	3Meq
REP	Skoldaon	Skd
4BA	Baruk 4	4Bar
