# Hindi (hin) book names and abbreviations for biblelib
# Conventions: Bible Society of India (BSI) Hindi Old Version (Re-edited)
# Abbreviations: derived from initial syllables; no published Devanagari standard exists
# Deuterocanonical and extended canon names are transliterations from Greek/Latin
# cv_sep: :
# Protestant canon
usfmname	name	abbrev
GEN	उत्पत्ति	उत्प
EXO	निर्गमन	निर्ग
LEV	लैव्यव्यवस्था	लैव्य
NUM	गिनती	गिन
DEU	व्यवस्थाविवरण	व्यव
JOS	यहोशू	यहो
JDG	न्यायियों	न्याय
RUT	रूत	रूत
1SA	1 शमूएल	1शमू
2SA	2 शमूएल	2शमू
1KI	1 राजाओं	1राजा
2KI	2 राजाओं	2राजा
1CH	1 इतिहास	1इति
2CH	2 इतिहास	2इति
EZR	एज्रा	एज्रा
NEH	नहेम्याह	नहे
EST	एस्तेर	एस्त
JOB	अय्यूब	अय्यू
PSA	भजन संहिता	भज
PRO	नीतिवचन	नीति
ECC	सभोपदेशक	सभो
SNG	श्रेष्ठगीत	श्रेष्ठ
ISA	यशायाह	यशा
JER	यिर्मयाह	यिर्म
LAM	विलापगीत	विला
EZK	यहेजकेल	यहेज
DAN	दानिएल	दान
HOS	होशे	होशे
JOL	योएल	योए
AMO	आमोस	आमो
OBA	ओबद्याह	ओबद
JON	योना	योना
MIC	मीका	मीका
NAM	नहूम	नहूम
HAB	हबक्कूक	हबक
ZEP	सपन्याह	सपन
HAG	हाग्गै	हाग्गै
ZEC	जकर्याह	जकर
MAL	मलाकी	मला
# Deuterocanonical books
TOB	तोबित	तोबि
JDT	यूदित	यूदि
ESG	एस्तेर (यूनानी)	एस्तयू
WIS	बुद्धि	बुद्धि
SIR	सीराख	सीरा
BAR	बारूक	बारू
LJE	यिर्मयाह का पत्र	यिर्म.प
S3Y	तीन युवकों का गीत	ती.युगी
SUS	सुसन्ना	सुसन
BEL	बेल और अजगर	बेल.अज
1MA	1 मकाबी	1मकाबी
2MA	2 मकाबी	2मकाबी
1ES	1 एज्रा	1एज्रा
MAN	मनश्शे की प्रार्थना	मनश्शे.प्रा
PS2	भजन 151	भज151
3MA	3 मकाबी	3मकाबी
2ES	2 एज्रा (लैटिन)	2एज्रा
4MA	4 मकाबी	4मकाबी
ODA	ओड्स	ओड्स
PSS	सुलैमान के भजन	सु.भज
LAO	लौदीकिया पत्र	लौदि.प
# New Testament
MAT	मत्ती	मत्त
MRK	मरकुस	मरकु
LUK	लूका	लूका
JHN	यूहन्ना	यूह
ACT	प्रेरितों के काम	प्रेरि
ROM	रोमियों	रोमि
1CO	1 कुरिन्थियों	1कुरि
2CO	2 कुरिन्थियों	2कुरि
GAL	गलातियों	गला
EPH	इफिसियों	इफि
PHP	फिलिप्पियों	फिलि
COL	कुलुस्सियों	कुलु
1TH	1 थिस्सलुनीकियों	1थिस्स
2TH	2 थिस्सलुनीकियों	2थिस्स
1TI	1 तीमुथियुस	1तीमु
2TI	2 तीमुथियुस	2तीमु
TIT	तीतुस	तीतु
PHM	फिलेमोन	फिले
HEB	इब्रानियों	इब्रा
JAS	याकूब	याकू
1PE	1 पतरस	1पत
2PE	2 पतरस	2पत
1JN	1 यूहन्ना	1यूह
2JN	2 यूहन्ना	2यूह
3JN	3 यूहन्ना	3यूह
JUD	यहूदा	यहूदा
REV	प्रकाशितवाक्य	प्रका
# Extended canon (Ethiopian, Syriac, etc.)
ENO	हनोक	हनोक
2BA	2 बारूक	2बारू
LBA	बारूक का पत्र	बारू.प
DAG	दानिएल (यूनानी)	दान.यू
EZA	एज्रा का प्रकाशन	एज्रा.प्र
5EZ	5 एज्रा	5एज्रा
6EZ	6 एज्रा	6एज्रा
PS3	भजन 152-155	भज152
JUB	यूबिलीज	यूबि
1MQ	1 मेकाब्यान	1मेका
2MQ	2 मेकाब्यान	2मेका
3MQ	3 मेकाब्यान	3मेका
REP	निंदा	निंदा
4BA	4 बारूक	4बारू
