# Russian (rus) book names and abbreviations for biblelib
# Conventions: Synodal Translation (Синодальный перевод, 1876) — dominant standard
# Note: 1SA–2KI follow Synodal "Царств" numbering (1-4 Kingdoms)
# Abbreviations: standard Synodal abbreviations
# Deuterocanonical names from Russian Orthodox/Synodal tradition
# cv_sep: :
# Protestant canon
usfmname	name	abbrev
GEN	Бытие	Быт
EXO	Исход	Исх
LEV	Левит	Лев
NUM	Числа	Чис
DEU	Второзаконие	Втор
JOS	Иисус Навин	Нав
JDG	Судьи	Суд
RUT	Руфь	Руфь
1SA	1-я Царств	1Цар
2SA	2-я Царств	2Цар
1KI	3-я Царств	3Цар
2KI	4-я Царств	4Цар
1CH	1-я Паралипоменон	1Пар
2CH	2-я Паралипоменон	2Пар
EZR	Ездра	Ездр
NEH	Неемия	Неем
EST	Есфирь	Есф
JOB	Иов	Иов
PSA	Псалтирь	Пс
PRO	Притчи	Притч
ECC	Екклесиаст	Еккл
SNG	Песня Песней	Песн
ISA	Исаия	Ис
JER	Иеремия	Иер
LAM	Плач Иеремии	Плач
EZK	Иезекиил	Иез
DAN	Даниил	Дан
HOS	Осия	Ос
JOL	Иоиль	Иоил
AMO	Амос	Ам
OBA	Авдий	Авд
JON	Иона	Иона
MIC	Михей	Мих
NAM	Наум	Наум
HAB	Аввакум	Авв
ZEP	Софония	Соф
HAG	Аггей	Агг
ZEC	Захария	Зах
MAL	Малахия	Мал
# Deuterocanonical books
TOB	Товит	Тов
JDT	Иудифь	Иудф
ESG	Есфирь (греческая)	ЕсфГр
WIS	Премудрость Соломона	Прем
SIR	Премудрость Иисуса, сына Сирахова	Сир
BAR	Варух	Вар
LJE	Послание Иеремии	Посл.Иер
S3Y	Песнь трёх отроков	Песн.Отр
SUS	Сусанна	Сус
BEL	Вил и дракон	Вил
1MA	1-я Маккавейская	1Макк
2MA	2-я Маккавейская	2Макк
1ES	1-я Ездры	1Ездр
MAN	Молитва Манассии	Мол.Ман
PS2	Псалом 151	Пс151
3MA	3-я Маккавейская	3Макк
2ES	2-я Ездры	2Ездр
4MA	4-я Маккавейская	4Макк
ODA	Оды	Оды
PSS	Псалмы Соломона	Пс.Сол
LAO	Лаодикийцам	Лаод
# New Testament
MAT	От Матфея	Мф
MRK	От Марка	Мк
LUK	От Луки	Лк
JHN	От Иоанна	Ин
ACT	Деяния	Деян
ROM	К Римлянам	Рим
1CO	1-е Коринфянам	1Кор
2CO	2-е Коринфянам	2Кор
GAL	К Галатам	Гал
EPH	К Ефесянам	Еф
PHP	К Филиппийцам	Флп
COL	К Колоссянам	Кол
1TH	1-е Фессалоникийцам	1Фес
2TH	2-е Фессалоникийцам	2Фес
1TI	1-е Тимофею	1Тим
2TI	2-е Тимофею	2Тим
TIT	К Титу	Тит
PHM	К Филимону	Флм
HEB	К Евреям	Евр
JAS	Иакова	Иак
1PE	1-е Петра	1Пет
2PE	2-е Петра	2Пет
1JN	1-е Иоанна	1Ин
2JN	2-е Иоанна	2Ин
3JN	3-е Иоанна	3Ин
JUD	Иуды	Иуд
REV	Откровение	Откр
# Extended canon (Ethiopian, Syriac, etc.)
ENO	Енох	Енох
2BA	Варух 2	2Вар
LBA	Послание Варуха	Посл.Вар
DAG	Даниил (греческий)	Дан.Гр
EZA	Видение Ездры	Вид.Ездр
5EZ	5-я Ездры	5Ездр
6EZ	6-я Ездры	6Ездр
PS3	Псалмы 152-155	Пс152
JUB	Юбилеи	Юб
1MQ	1-я Мекабьян	1Мек
2MQ	2-я Мекабьян	2Мек
3MQ	3-я Мекабьян	3Мек
REP	Обличение	Обл
4BA	Варух 4	4Вар
