# Simplified Chinese (zhs) book names and abbreviations for biblelib
# Conventions: Chinese Union Version Simplified (和合本简体, CUV) — dominant standard
# Abbreviations: standard CUV Simplified abbreviations
# Deuterocanonical names from Simplified Chinese Catholic Bible (思高本)
# Extended canon names transliterated
# cv_sep: :
# Protestant canon
usfmname	name	abbrev
GEN	创世记	创
EXO	出埃及记	出
LEV	利未记	利
NUM	民数记	民
DEU	申命记	申
JOS	约书亚记	书
JDG	士师记	士
RUT	路得记	得
1SA	撒母耳记上	撒上
2SA	撒母耳记下	撒下
1KI	列王纪上	王上
2KI	列王纪下	王下
1CH	历代志上	代上
2CH	历代志下	代下
EZR	以斯拉记	拉
NEH	尼希米记	尼
EST	以斯帖记	斯
JOB	约伯记	伯
PSA	诗篇	诗
PRO	箴言	箴
ECC	传道书	传
SNG	雅歌	歌
ISA	以赛亚书	赛
JER	耶利米书	耶
LAM	耶利米哀歌	哀
EZK	以西结书	结
DAN	但以理书	但
HOS	何西阿书	何
JOL	约珥书	珥
AMO	阿摩司书	摩
OBA	俄巴底亚书	俄
JON	约拿书	拿
MIC	弥迦书	弥
NAM	那鸿书	鸿
HAB	哈巴谷书	哈
ZEP	西番雅书	番
HAG	哈该书	该
ZEC	撒迦利亚书	亚
MAL	玛拉基书	玛
# Deuterocanonical books
TOB	多俾亚传	多俾
JDT	友弟德传	友弟
ESG	以斯帖记补篇	斯补
WIS	智慧篇	智
SIR	德训篇	德
BAR	巴路克	巴
LJE	耶利米书信	耶信
S3Y	三童歌	三童
SUS	苏撒拿传	苏
BEL	彼勒与大龙	彼勒
1MA	玛加伯上	玛加上
2MA	玛加伯下	玛加下
1ES	厄斯德拉上	厄上
MAN	玛纳西祷文	玛祷
PS2	诗篇151	诗151
3MA	玛加伯三书	玛加三
2ES	厄斯德拉下	厄下
4MA	玛加伯四书	玛加四
ODA	颂歌	颂
PSS	所罗门诗篇	所诗
LAO	老底嘉书	老底
# New Testament
MAT	马太福音	太
MRK	马可福音	可
LUK	路加福音	路
JHN	约翰福音	约
ACT	使徒行传	徒
ROM	罗马书	罗
1CO	哥林多前书	林前
2CO	哥林多后书	林后
GAL	加拉太书	加
EPH	以弗所书	弗
PHP	腓立比书	腓
COL	歌罗西书	西
1TH	帖撒罗尼迦前书	帖前
2TH	帖撒罗尼迦后书	帖后
1TI	提摩太前书	提前
2TI	提摩太后书	提后
TIT	提多书	多
PHM	腓利门书	门
HEB	希伯来书	来
JAS	雅各书	雅
1PE	彼得前书	彼前
2PE	彼得后书	彼后
1JN	约翰一书	约一
2JN	约翰二书	约二
3JN	约翰三书	约三
JUD	犹大书	犹
REV	启示录	启
# Extended canon (Ethiopian, Syriac, etc.)
ENO	以诺书	诺
2BA	巴路克二书	巴二
LBA	巴路克书信	巴信
DAG	但以理书（希腊文）	但希
EZA	以斯拉启示录	拉启
5EZ	以斯拉记五	拉五
6EZ	以斯拉记六	拉六
PS3	诗篇152-155	诗152
JUB	禧年书	禧
1MQ	麦卡比扬一书	麦一
2MQ	麦卡比扬二书	麦二
3MQ	麦卡比扬三书	麦三
REP	责备书	责
4BA	巴路克四书	巴四
