# Traditional Chinese (zht) book names and abbreviations for biblelib
# Conventions: Chinese Union Version Traditional (和合本, CUV) — dominant standard
# Abbreviations: standard CUV abbreviations
# Deuterocanonical names from Traditional Chinese Catholic Bible (思高本, Studium Biblicum)
# Extended canon names transliterated
# cv_sep: :
# Protestant canon
usfmname	name	abbrev
GEN	創世記	創
EXO	出埃及記	出
LEV	利未記	利
NUM	民數記	民
DEU	申命記	申
JOS	約書亞記	書
JDG	士師記	士
RUT	路得記	得
1SA	撒母耳記上	撒上
2SA	撒母耳記下	撒下
1KI	列王紀上	王上
2KI	列王紀下	王下
1CH	歷代志上	代上
2CH	歷代志下	代下
EZR	以斯拉記	拉
NEH	尼希米記	尼
EST	以斯帖記	斯
JOB	約伯記	伯
PSA	詩篇	詩
PRO	箴言	箴
ECC	傳道書	傳
SNG	雅歌	歌
ISA	以賽亞書	賽
JER	耶利米書	耶
LAM	耶利米哀歌	哀
EZK	以西結書	結
DAN	但以理書	但
HOS	何西阿書	何
JOL	約珥書	珥
AMO	阿摩司書	摩
OBA	俄巴底亞書	俄
JON	約拿書	拿
MIC	彌迦書	彌
NAM	那鴻書	鴻
HAB	哈巴谷書	哈
ZEP	西番雅書	番
HAG	哈該書	該
ZEC	撒迦利亞書	亞
MAL	瑪拉基書	瑪
# Deuterocanonical books
TOB	多俾亞傳	多俾
JDT	友弟德傳	友弟
ESG	以斯帖記補篇	斯補
WIS	智慧篇	智
SIR	德訓篇	德
BAR	巴路克	巴
LJE	耶利米書信	耶信
S3Y	三童歌	三童
SUS	蘇撒拿傳	蘇
BEL	彼勒與大龍	彼勒
1MA	瑪加伯上	瑪加上
2MA	瑪加伯下	瑪加下
1ES	厄斯德拉上	厄上
MAN	瑪納西禱文	瑪禱
PS2	詩篇151	詩151
3MA	瑪加伯三書	瑪加三
2ES	厄斯德拉下	厄下
4MA	瑪加伯四書	瑪加四
ODA	頌歌	頌
PSS	所羅門詩篇	所詩
LAO	老底嘉書	老底
# New Testament
MAT	馬太福音	太
MRK	馬可福音	可
LUK	路加福音	路
JHN	約翰福音	約
ACT	使徒行傳	徒
ROM	羅馬書	羅
1CO	哥林多前書	林前
2CO	哥林多後書	林後
GAL	加拉太書	加
EPH	以弗所書	弗
PHP	腓立比書	腓
COL	歌羅西書	西
1TH	帖撒羅尼迦前書	帖前
2TH	帖撒羅尼迦後書	帖後
1TI	提摩太前書	提前
2TI	提摩太後書	提後
TIT	提多書	多
PHM	腓利門書	門
HEB	希伯來書	來
JAS	雅各書	雅
1PE	彼得前書	彼前
2PE	彼得後書	彼後
1JN	約翰一書	約一
2JN	約翰二書	約二
3JN	約翰三書	約三
JUD	猶大書	猶
REV	啟示錄	啟
# Extended canon (Ethiopian, Syriac, etc.)
ENO	以諾書	諾
2BA	巴路克二書	巴二
LBA	巴路克書信	巴信
DAG	但以理書（希臘文）	但希
EZA	以斯拉啟示錄	拉啟
5EZ	以斯拉記五	拉五
6EZ	以斯拉記六	拉六
PS3	詩篇152-155	詩152
JUB	禧年書	禧
1MQ	麥卡比揚一書	麥一
2MQ	麥卡比揚二書	麥二
3MQ	麥卡比揚三書	麥三
REP	責備書	責
4BA	巴路克四書	巴四
