startid	endid	title
01001001	01002003	The Creation
01002004	01002025	The Generations of Heaven and Earth
01003001	01003024	The Fall
01004001	01004026	Cain and Abel
01005001	01005032	Adam’s Descendants to Noah
01006001	01007005	Prelude to the Flood
01007006	01007024	The Flood
01008001	01008022	The Flood Subsides
01009001	01009017	God’s Covenant with Noah and Humankind
01009018	01009029	Noah’s Descendants
01010001	01010032	The Descendants of the Sons of Noah
01011001	01011009	The Tower of Babel
01011010	01011026	The Descendants of Shem
01011027	01011032	The Descendants of Terah
01012001	01012003	The Call of Abram
01012004	01012020	Abram’s Journey
01013001	01013018	The Parting of Abram and Lot
01014001	01014016	Abram Rescues Lot
01014017	01014024	Abram Meets Melchizedek
01015001	01015021	Yahweh’s Covenant with Abram
01016001	01016006	Sarai and Hagar
01016007	01016016	Hagar and the Angel of Yahweh
01017001	01017027	Abram and Circumcision, the Sign of the Covenant
01018001	01018021	Yahweh Appears to Abraham as a Man
01018022	01018033	Abraham Intercedes for Sodom
01019001	01019022	The Rescue of Lot from Sodom
01019023	01019029	The Destruction of Sodom
01019030	01019038	Lot and His Daughters
01020001	01020018	Abraham and Abimelech
01021001	01021007	The Birth of Isaac
01021008	01021021	Hagar and Ishmael
01021022	01021034	The Covenant Between Abraham and Abimelech
01022001	01022024	God Tests Abraham
01023001	01023020	Sarah’s Death and Burial
01024001	01024067	Isaac and Rebekah
01025001	01025018	The Death and Descendants of Abraham
01025019	01025034	Jacob and Esau
01026001	01026035	Isaac and Abimelech
01027001	01027046	Jacob Steals Esau’s Blessing
01028001	01028009	Jacob Flees to Haran
01028010	01028022	Jacob’s Dream
01029001	01029014	Jacob Flees to Haran
01029015	01029030	Jacob’s Marriages
01029031	01029035	Jacob’s Children
01030001	01030024	Jacob’s Children
01030025	01030043	Jacob’s Prosperity
01031001	01031055	Jacob Flees from Laban
01032001	01032021	Jacob Fears Esau
01032022	01032032	Jacob Wrestles with God
01033001	01033020	Jacob Meets Esau and Settles at Shechem
01034001	01034031	The Rape of Dinah and the Massacre at Shechem
01035001	01035015	Jacob Goes Back to Bethel
01035016	01035022	The Death of Rachel
01035023	01035026	The Twelve Sons of Jacob
01035027	01035029	The Death of Isaac
01036001	01036030	The Descendants of Esau
01036031	01036043	The Kings of Edom
01037001	01037011	The Dreams of Joseph
01037012	01037036	Joseph Sold Into Slavery by his Brothers
01038001	01038030	Judah and Tamar
01039001	01039023	Joseph in Potiphar’s House
01040001	01040023	Joseph Interprets Dreams in Prison
01041001	01041036	Joseph Interprets Pharaoh’s Dreams
01041037	01041057	Joseph Rises to Power
01042001	01042038	Joseph’s Brothers Go to Egypt for Food
01043001	01043034	Joseph’s Brothers Return to Egypt
01044001	01044034	Joseph Tests His Brothers
01045001	01045028	Joseph Reveals His Identity
01046001	01046034	Jacob and His Offspring Go to Egypt
01047001	01047012	Jacob Settles in Goshen
01047013	01047031	The Famine in Egypt Continues
01048001	01048022	Jacob Blesses Ephraim and Manasseh
01049001	01049027	Jacob Blesses His Twelve Sons
01049028	01049033	The Death and Burial of Jacob
01050001	01050021	Jacob’s Funeral and Joseph’s Remaining Time in Egypt
01050022	01050026	The Death of Joseph
02001001	02001022	Israel and Oppression in Egypt
02002001	02002025	The Birth and Early Life of Moses
02003001	02003022	Yahweh’s Plan to Rescue the Israelites
02004001	02004017	Yahweh Provides Signs and Help for Speaking
02004018	02004031	Moses Leaves Midian and Returns to Egypt
02005001	02005014	Pharaoh Rejects Yahweh’s Authority and Makes Israel’s Troubles Worse
02005015	02005023	The Foremen Complain to Pharaoh and Moses, and Moses Complains to Yahweh
02006001	02006013	Yahweh Discusses His Name and Israel’s Future
02006014	02006030	The Genealogy of Moses and Aaron
02007001	02007007	Yahweh Reviews Plans for Bringing the Israelites out of Egypt
02007008	02007013	Provision of a Wonder: Aaron’s Staff Becomes a Snake
02007014	02007025	Plague One: Blood
02008001	02008015	Plague Two: Frogs
02008016	02008019	Plague Three: Gnats
02008020	02008032	Plague Four: Flies
02009001	02009007	Plague Five: Livestock Death
02009008	02009012	Plague Six: Painful Sores
02009013	02009035	Plague Seven: Hail
02010001	02010020	Plague Eight: Locusts
02010021	02010029	Plague Nine: Darkness
02011001	02011010	Announcement of the Tenth Plague: Death of the Firstborn
02012001	02012028	Instructions for the Feast of Passover
02012029	02012051	Death of Firstborn and Deliverance from Egypt
02013001	02013016	Unleavened Bread and Dedication of Firstborn to Commemorate the Rescue from Egypt
02013017	02013022	Summary of Travel
02014001	02014031	Yahweh Rescues Israel at the Red Sea
02015001	02015021	Song of Victory at the Sea
02015022	02015027	Yahweh Provides Water at Marah
02016001	02016036	Yahweh Provides Food in the Desert
02017001	02017007	Water from a Rock
02017008	02017016	Battle with the Amalekites
02018001	02018027	Jethro’s Visit to Moses at the Mountain of God
02019001	02019025	Preparation for Receiving the Covenant at Mount Sinai
02020001	02020021	Ten Commandments
02020022	02020026	Instructions for Building Altars
02021001	02021011	Regulations Regarding Hebrew Slaves
02021012	02021036	Regulations Regarding Murder, Manslaughter, and Various Injuries
02022001	02022015	Regulations Regarding Theft, Borrowing, and Accidental Damage or Loss
02022016	02022020	Regulations Regarding Various Offences
02022021	02022027	Regulations Regarding Foreigners and the Poor
02022028	02022031	Regulations Regarding Tribute and Holiness
02023001	02023009	Regulations Regarding Justice
02023010	02023019	Regulations Regarding Work and Festivals
02023020	02023033	Reasons for Loyal Obedience
02024001	02024011	Confirming the Covenant
02024012	02024018	The Start of Forty Days and Nights on Mount Sinai
02025001	02025009	Instruction to Collect Materials
02025010	02025022	Instructions for Making the Ark of the Covenant
02025023	02025040	Instructions for Making a Table and a Lampstand
02026001	02026037	Instructions for Making the Tabernacle
