chapter_ID	end_ID
01001	01001031
01002	01002025
01003	01003024
01004	01004026
01005	01005032
01006	01006022
01007	01007024
01008	01008022
01009	01009029
01010	01010032
01011	01011032
01012	01012020
01013	01013018
01014	01014024
01015	01015021
01016	01016016
01017	01017027
01018	01018033
01019	01019038
01020	01020018
01021	01021034
01022	01022024
01023	01023020
01024	01024067
01025	01025034
01026	01026035
01027	01027046
01028	01028022
01029	01029035
01030	01030043
01031	01031055
01032	01032032
01033	01033020
01034	01034031
01035	01035029
01036	01036043
01037	01037036
01038	01038030
01039	01039023
01040	01040023
01041	01041057
01042	01042038
01043	01043034
01044	01044034
01045	01045028
01046	01046034
01047	01047031
01048	01048022
01049	01049033
01050	01050026
02001	02001022
02002	02002025
02003	02003022
02004	02004031
02005	02005023
02006	02006030
02007	02007026
02008	02008032
02009	02009035
02010	02010029
02011	02011010
02012	02012051
02013	02013022
02014	02014031
02015	02015027
02016	02016036
02017	02017016
02018	02018027
02019	02019025
02020	02020026
02021	02021037
02022	02022031
02023	02023033
02024	02024018
02025	02025040
02026	02026037
02027	02027021
02028	02028043
02029	02029046
02030	02030038
02031	02031018
02032	02032035
02033	02033023
02034	02034035
02035	02035035
02036	02036038
02037	02037029
02038	02038031
02039	02039043
02040	02040038
03001	03001017
03002	03002016
03003	03003017
03004	03004035
03005	03005019
03006	03006030
03007	03007038
03008	03008036
03009	03009024
03010	03010020
03011	03011047
03012	03012008
03013	03013059
03014	03014057
03015	03015033
03016	03016034
03017	03017016
03018	03018030
03019	03019037
03020	03020027
03021	03021024
03022	03022033
03023	03023044
03024	03024023
03025	03025055
03026	03026046
03027	03027034
04001	04001054
04002	04002034
04003	04003051
04004	04004049
04005	04005031
04006	04006027
04007	04007089
04008	04008026
04009	04009023
04010	04010036
04011	04011035
04012	04012016
04013	04013033
04014	04014045
04015	04015041
04016	04016050
04017	04017013
04018	04018032
04019	04019022
04020	04020029
04021	04021035
04022	04022041
04023	04023030
04024	04024025
04025	04025019
04026	04026065
04027	04027023
04028	04028031
04029	04029040
04030	04030016
04031	04031054
04032	04032042
04033	04033056
04034	04034029
04035	04035034
04036	04036013
05001	05001046
05002	05002037
05003	05003029
05004	05004049
05005	05005033
05006	05006025
05007	05007026
05008	05008020
05009	05009029
05010	05010022
05011	05011032
05012	05012032
05013	05013018
05014	05014029
05015	05015023
05016	05016022
05017	05017020
05018	05018022
05019	05019021
05020	05020020
05021	05021023
05022	05022030
05023	05023025
05024	05024022
05025	05025019
05026	05026019
05027	05027026
05028	05028068
05029	05029029
05030	05030020
05031	05031030
05032	05032052
05033	05033029
05034	05034012
06001	06001018
06002	06002024
06003	06003017
06004	06004024
06005	06005015
06006	06006027
06007	06007026
06008	06008035
06009	06009027
06010	06010043
06011	06011023
06012	06012024
06013	06013033
06014	06014015
06015	06015063
06016	06016010
06017	06017018
06018	06018028
06019	06019051
06020	06020009
06021	06021045
06022	06022034
06023	06023016
06024	06024033
07001	07001036
07002	07002023
07003	07003031
07004	07004024
07005	07005031
07006	07006040
07007	07007025
07008	07008035
07009	07009057
07010	07010018
07011	07011040
07012	07012015
07013	07013025
07014	07014020
07015	07015020
07016	07016031
07017	07017013
07018	07018031
07019	07019030
07020	07020048
07021	07021025
08001	08001022
08002	08002023
08003	08003018
08004	08004022
09001	09001028
09002	09002036
09003	09003021
09004	09004022
09005	09005012
09006	09006021
09007	09007017
09008	09008022
09009	09009027
09010	09010027
09011	09011015
09012	09012025
09013	09013023
09014	09014052
09015	09015035
09016	09016023
09017	09017058
09018	09018030
09019	09019024
09020	09020042
09021	09021015
09022	09022023
09023	09023029
09024	09024022
09025	09025044
09026	09026025
09027	09027012
09028	09028025
09029	09029011
09030	09030031
09031	09031013
10001	10001027
10002	10002032
10003	10003039
10004	10004012
10005	10005025
10006	10006023
10007	10007029
10008	10008018
10009	10009013
10010	10010019
10011	10011027
10012	10012031
10013	10013039
10014	10014033
10015	10015037
10016	10016023
10017	10017029
10018	10018033
10019	10019043
10020	10020026
10021	10021022
10022	10022051
10023	10023039
10024	10024025
11001	11001053
11002	11002046
11003	11003028
11004	11004034
11005	11005018
11006	11006038
11007	11007051
11008	11008066
11009	11009028
11010	11010029
11011	11011043
11012	11012033
11013	11013034
11014	11014031
11015	11015034
11016	11016034
11017	11017024
11018	11018046
11019	11019021
11020	11020043
11021	11021029
11022	11022053
12001	12001018
12002	12002025
12003	12003027
12004	12004044
12005	12005027
12006	12006033
12007	12007020
12008	12008029
12009	12009037
12010	12010036
12011	12011021
12012	12012021
12013	12013025
12014	12014029
12015	12015038
12016	12016020
12017	12017041
12018	12018037
12019	12019037
12020	12020021
12021	12021026
12022	12022020
12023	12023037
12024	12024020
12025	12025030
13001	13001054
13002	13002055
13003	13003024
13004	13004043
13005	13005026
13006	13006081
13007	13007040
13008	13008040
13009	13009044
13010	13010014
13011	13011047
13012	13012040
13013	13013014
13014	13014017
13015	13015029
13016	13016043
13017	13017027
13018	13018017
13019	13019019
13020	13020008
13021	13021030
13022	13022019
13023	13023032
13024	13024031
13025	13025031
13026	13026032
13027	13027034
13028	13028021
13029	13029030
14001	14001017
14002	14002018
14003	14003017
14004	14004022
14005	14005014
14006	14006042
14007	14007022
14008	14008018
14009	14009031
14010	14010019
14011	14011023
14012	14012016
14013	14013022
14014	14014015
14015	14015019
14016	14016014
14017	14017019
14018	14018034
14019	14019011
14020	14020037
14021	14021020
14022	14022012
14023	14023021
14024	14024027
14025	14025028
14026	14026023
14027	14027009
14028	14028027
14029	14029036
14030	14030027
14031	14031021
14032	14032033
14033	14033025
14034	14034033
14035	14035027
14036	14036023
15001	15001011
15002	15002070
15003	15003013
15004	15004024
15005	15005017
15006	15006022
15007	15007028
15008	15008036
15009	15009015
15010	15010044
16001	16001011
16002	16002020
16003	16003032
16004	16004023
16005	16005019
16006	16006019
16007	16007073
16008	16008018
16009	16009038
16010	16010039
16011	16011036
16012	16012047
16013	16013031
17001	17001022
17002	17002023
17003	17003015
17004	17004017
17005	17005014
17006	17006014
17007	17007010
17008	17008017
17009	17009032
17010	17010003
18001	18001022
18002	18002013
18003	18003026
18004	18004021
18005	18005027
18006	18006030
18007	18007021
18008	18008022
18009	18009035
18010	18010022
18011	18011020
18012	18012025
18013	18013028
18014	18014022
18015	18015035
18016	18016022
18017	18017016
18018	18018021
18019	18019029
18020	18020029
18021	18021034
18022	18022030
18023	18023017
18024	18024025
18025	18025006
18026	18026014
18027	18027023
18028	18028028
18029	18029025
18030	18030031
18031	18031040
18032	18032022
18033	18033033
18034	18034037
18035	18035016
18036	18036033
18037	18037024
18038	18038041
18039	18039030
18040	18040024
18041	18041034
18042	18042017
19001	19001006
19002	19002012
19003	19003008
19004	19004008
19005	19005012
19006	19006010
19007	19007017
19008	19008009
19009	19009020
19010	19010018
19011	19011007
19012	19012008
19013	19013006
19014	19014007
19015	19015005
19016	19016011
19017	19017015
19018	19018050
19019	19019014
19020	19020009
19021	19021013
19022	19022031
19023	19023006
19024	19024010
19025	19025022
19026	19026012
19027	19027014
19028	19028009
19029	19029011
19030	19030012
19031	19031024
19032	19032011
19033	19033022
19034	19034022
19035	19035028
19036	19036012
19037	19037040
19038	19038022
19039	19039013
19040	19040017
19041	19041013
19042	19042011
19043	19043005
19044	19044026
19045	19045017
19046	19046011
19047	19047009
19048	19048014
19049	19049020
19050	19050023
19051	19051019
19052	19052009
19053	19053006
19054	19054007
19055	19055023
19056	19056013
19057	19057011
19058	19058011
19059	19059017
19060	19060012
19061	19061008
19062	19062012
19063	19063011
19064	19064010
19065	19065013
19066	19066020
19067	19067007
19068	19068035
19069	19069036
19070	19070005
19071	19071024
19072	19072020
19073	19073028
19074	19074023
19075	19075010
19076	19076012
19077	19077020
19078	19078072
19079	19079013
19080	19080019
19081	19081016
19082	19082008
19083	19083018
19084	19084012
19085	19085013
19086	19086017
19087	19087007
19088	19088018
19089	19089052
19090	19090017
19091	19091016
19092	19092015
19093	19093005
19094	19094023
19095	19095011
19096	19096013
19097	19097012
19098	19098009
19099	19099009
19100	19100005
19101	19101008
19102	19102028
19103	19103022
19104	19104035
19105	19105045
19106	19106048
19107	19107043
19108	19108013
19109	19109031
19110	19110007
19111	19111010
19112	19112010
19113	19113009
19114	19114008
19115	19115018
19116	19116019
19117	19117002
19118	19118029
19119	19119176
19120	19120007
19121	19121008
19122	19122009
19123	19123004
19124	19124008
19125	19125005
19126	19126006
19127	19127005
19128	19128006
19129	19129008
19130	19130008
19131	19131003
19132	19132018
19133	19133003
19134	19134003
19135	19135021
19136	19136026
19137	19137009
19138	19138008
19139	19139024
19140	19140013
19141	19141010
19142	19142007
19143	19143012
19144	19144015
19145	19145021
19146	19146010
19147	19147020
19148	19148014
19149	19149009
19150	19150006
20001	20001033
20002	20002022
20003	20003035
20004	20004027
20005	20005023
20006	20006035
20007	20007027
20008	20008036
20009	20009018
20010	20010032
20011	20011031
20012	20012028
20013	20013025
20014	20014035
20015	20015033
20016	20016033
20017	20017028
20018	20018024
20019	20019029
20020	20020030
20021	20021031
20022	20022029
20023	20023035
20024	20024034
20025	20025028
20026	20026028
20027	20027027
20028	20028028
20029	20029027
20030	20030033
20031	20031031
21001	21001018
21002	21002026
21003	21003022
21004	21004017
21005	21005020
21006	21006012
21007	21007029
21008	21008017
21009	21009018
21010	21010020
21011	21011010
21012	21012014
22001	22001017
22002	22002017
22003	22003011
22004	22004016
22005	22005016
22006	22006013
22007	22007013
22008	22008014
23001	23001031
23002	23002022
23003	23003026
23004	23004006
23005	23005030
23006	23006013
23007	23007025
23008	23008023
23009	23009021
23010	23010034
23011	23011016
23012	23012006
23013	23013022
23014	23014032
23015	23015009
23016	23016014
